Price,Area,Location,No. of Bedrooms,Is_New,Gymnasium,Lift Available,Car Parking,Maintenance Staff,24x7 Security,Children's Play Area,Clubhouse,Intercom,Landscaped Gardens,Indoor Games,Gas Connection,Jogging Track,Swimming Pool,Price per sq ft.,Total Amenities
4850000,720,Kharghar,1,Old,0,1,1,1,1,0,0,0,0,0,0,0,0,"6,736",4
4500000,600,Kharghar,1,Old,1,1,1,1,1,0,1,0,0,0,0,1,1,"7,500",8
6700000,650,Kharghar,1,Old,1,1,1,1,1,1,1,1,0,0,0,1,1,"10,308",10
4500000,650,Kharghar,1,Old,0,1,1,1,1,0,0,1,1,0,0,0,0,"6,923",6
5000000,665,Kharghar,1,Old,0,1,1,1,1,0,0,1,1,0,0,0,0,"7,519",6
17000000,2000,Kharghar,4,Old,1,1,1,1,1,1,1,1,1,0,0,1,1,"8,500",11
12500000,1550,Kharghar,3,Old,0,1,1,1,1,0,0,1,1,0,1,0,0,"8,065",7
10500000,1370,Sector-13 Kharghar,3,Old,0,1,1,1,1,0,0,1,0,0,0,0,0,"7,664",5
10500000,1356,Kharghar,3,Old,1,1,1,1,1,0,1,1,0,0,0,1,1,"7,743",9
15000000,1680,Kharghar,3,Old,1,1,1,1,1,1,1,1,1,1,1,1,1,"8,929",13
8700000,980,Kharghar,2,Old,1,1,1,1,1,0,1,1,0,1,0,1,1,"8,878",10
9000000,1000,Kharghar,2,Old,1,1,1,1,1,1,0,1,1,0,0,0,0,"9,000",8
11000000,1060,Kharghar,2,Old,1,1,1,1,1,1,1,1,1,0,0,0,1,"10,377",10
10500000,1095,Kharghar,2,Old,1,1,1,1,1,1,1,1,1,1,0,0,1,"9,589",11
9700000,1155,Kharghar,2,Old,1,1,1,1,1,1,1,1,1,0,0,1,1,"8,398",11
10500000,1150,Kharghar,2,Old,1,1,1,1,1,1,1,1,1,0,0,1,1,"9,130",11
8000000,1250,Sector 18 Kharghar,2,Old,1,1,1,1,1,1,0,1,1,0,1,0,0,"6,400",9
8500000,990,Kharghar,2,Old,1,1,1,1,1,1,1,1,1,1,1,1,1,"8,586",13
9300000,1078,Kharghar,2,Old,1,1,1,1,1,1,1,1,1,1,0,1,1,"8,627",12
9900000,1150,Kharghar,2,Old,1,1,1,1,1,1,1,1,0,0,0,1,1,"8,609",10
8000000,1150,Kharghar,2,Old,1,1,1,1,1,1,1,1,1,0,0,1,1,"6,957",11
9000000,1060,Kharghar,2,Old,1,1,1,1,1,0,1,1,1,0,0,1,1,"8,491",10
4200000,680,Kharghar,1,Old,0,1,1,1,1,0,0,1,0,0,0,0,0,"6,176",5
28000000,2470,Kharghar,4,Old,1,1,1,1,1,1,1,1,1,1,1,1,1,"11,336",13
40000000,2100,Kharghar,4,Old,0,1,1,1,1,0,0,1,0,0,0,0,0,"19,048",5
16000000,2200,Kharghar,4,Old,1,1,1,1,1,1,1,1,1,0,0,1,1,"7,273",11
17000000,2235,Kharghar,4,Old,1,1,1,1,1,1,1,1,0,1,0,1,1,"7,606",11
9500000,1025,Kharghar,2,Old,1,1,1,1,1,1,1,1,1,1,0,1,1,"9,268",12
9500000,950,Kharghar,2,Old,1,1,1,1,1,0,1,1,0,0,0,1,1,"10,000",9
7500000,895,Kharghar,2,Old,0,1,1,1,1,0,0,1,0,0,0,1,0,"8,380",6
8500000,1114,Kharghar,2,Old,1,1,1,1,1,1,1,1,1,1,1,1,1,"7,630",13
13000000,1197,Kharghar,2,Old,1,1,1,1,1,1,1,1,1,0,0,0,1,"10,860",10
13700000,1380,Kharghar,2,Old,1,1,1,1,1,1,1,1,1,0,1,1,1,"9,928",12
8000000,1050,Kharghar,2,Old,0,1,1,1,1,0,0,0,0,0,0,0,0,"7,619",4
10500000,1240,Kharghar,2,Old,1,1,1,1,1,1,1,1,1,1,0,1,1,"8,468",12
7700000,1110,Kharghar,2,Old,1,1,1,1,1,1,1,1,1,0,0,1,1,"6,937",11
7500000,1050,Kharghar,2,Old,0,1,1,1,1,0,0,1,0,0,0,1,0,"7,143",6
9000000,1160,Kharghar,2,Old,1,1,1,1,1,0,1,1,1,0,1,1,1,"7,759",11
6000000,555,Kharghar,1,Old,0,1,1,1,1,0,0,1,1,0,0,0,0,"10,811",6
6200000,650,Kharghar,1,Old,0,1,1,1,1,0,0,1,0,0,0,0,0,"9,538",5
5000000,600,Kharghar,1,Old,0,1,1,1,1,1,0,1,1,0,0,0,0,"8,333",7
6500000,650,Kharghar,1,Old,0,1,1,1,1,0,0,1,0,0,0,0,0,"10,000",5
5200000,700,Kharghar,1,Old,1,1,1,1,1,1,1,1,1,0,0,1,1,"7,429",11
